no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,0(男)/1(女),天氣
121,2022/2/10 11:49,"0150deb7d0,0072",U1533b24c18a3e1f1479bdb79969431d9,日香美食坊歡迎您～,23.57466,119.5768,248408,67,1,陰風 
122,2022/2/10 12:11,"0150deb7d0,0338",U1533b24c18a3e1f1479bdb79969431d9,曾記滿福堂擔仔麵,23.57406,119.57323,248484,67,1,陰風 
128,2022/2/10 12:32,"0150deb7d0,0197",U1533b24c18a3e1f1479bdb79969431d9,嚐香聚牛肉麵,23.57425,119.57308,248545,67,1,陰風 
212,2022/2/11 22:55,"0150deb7d0,0244",U1533b24c18a3e1f1479bdb79969431d9,三ㄚ店&潮style,23.56705,119.56538,254110,67,1,陰風 
263,2022/2/11 20:35,"0150deb7d0,0347",U1533b24c18a3e1f1479bdb79969431d9,提樂茶飲專賣店,23.56668,119.5654,253750,67,1,陰風 
292,2022/2/12 14:42,"0150deb7d0,0281",U1533b24c18a3e1f1479bdb79969431d9,霸味薑母鴨,23.5705,119.57567,255415,67,1,風
328,2022/2/12 21:21,"0150deb7d0,0157",U1533b24c18a3e1f1479bdb79969431d9,鮮食堂海鮮蒸鍋,23.56566,119.56462,256929,67,1,風
329,2022/2/12 21:53,"0150deb7d0,0359",U1533b24c18a3e1f1479bdb79969431d9,Bella調酒專賣店,23.56855353,119.567152,257023,67,1,風
354,2022/2/13 17:53,"0150deb7d0,0329",U1533b24c18a3e1f1479bdb79969431d9,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,259545,67,1,陰雨
355,2022/2/13 17:57,"0150deb7d0,0179",U1533b24c18a3e1f1479bdb79969431d9,祥馨鮮鮮果舖,23.57336,119.57256,259562,67,1,陰雨
381,2022/2/13 08:55,"0150deb7d0,0339",U1533b24c18a3e1f1479bdb79969431d9,秀秀蔥大餅,23.5764,119.57411,257789,67,1,陰雨
440,2022/2/14 21:44,"0150deb7d0,0040",U1533b24c18a3e1f1479bdb79969431d9,自由塔,23.56993769,119.5713121,263486,67,1,陰風 
510,2022/2/15 18:48,"0150deb7d0,0160",U1533b24c18a3e1f1479bdb79969431d9,海玩子雞蛋糕,23.56997,119.56894,265902,67,1,陰風 
514,2022/2/15 19:00,"0150deb7d0,0290",U1533b24c18a3e1f1479bdb79969431d9,老餅新料蔥油餅,23.57605,119.57486,265933,67,1,陰風 
518,2022/2/15 19:15,"0150deb7d0,0139",U1533b24c18a3e1f1479bdb79969431d9,紫光複合式餐飲,23.56601,119.56687,265988,67,1,陰風 
528,2022/2/15 20:38,"0150deb7d0,0311",U1533b24c18a3e1f1479bdb79969431d9,澎湖 朝陽路肉圓,23.57339,119.57697,266199,67,1,陰風 
583,2022/2/16 15:49,"0150deb7d0,0291",U1533b24c18a3e1f1479bdb79969431d9,天津蔥抓餅,23.57431,119.5792,268388,67,1,陰風 
601,2022/2/16 20:23,"0150deb7d0,0172",U1533b24c18a3e1f1479bdb79969431d9,小城故事庭園咖啡館,23.56972,119.56732,269467,67,1,陰風 
664,2022/2/17 20:25,"0150deb7d0,0266",U1533b24c18a3e1f1479bdb79969431d9,外垵福氣刈包,23.56469,119.47946,272877,67,1,風
