no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,0(男)/1(女),天氣
2114,2022/3/1 19:45,"0150deb7d0,0150",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,好享吃小火鍋,23.56745,119.56641,311355,58,1,多雲陰
2185,2022/3/10 18:53,"0150deb7d0,0360",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,芳遠水果行,23.56751,119.56721,339626,58,1,晴
2187,2022/3/10 18:54,"0150deb7d0,0305",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,桃太郎日式料理,23.56613,119.56468,339629,58,1,晴
2993,2022/3/22 17:37,"0150deb7d0,0008",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,典醬家,23.56933086,119.5898642,375758,58,1,陰雨
3137,2022/3/25 19:08,"0150deb7d0,0179",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,祥馨鮮鮮果舖,23.57336,119.57256,385486,58,1,陰
3138,2022/3/25 19:30,"0150deb7d0,0403",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,恐龍炭烤饅頭,23.56671,119.56477,385558,58,1,陰
3273,2022/3/28 19:07,"0150deb7d0,0328",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,瑞師父海菜煎餅,23.56579,119.56542,394188,58,1,雨
3584,2022/3/4 19:20,"0150deb7d0,0086",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,憲作食品商行喜歡義式霜淇淋的你,23.5664,119.56782,320792,58,1,晴
3810,2022/3/8 19:16,"0150deb7d0,0157",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,鮮食堂海鮮蒸鍋,23.56566,119.56462,332899,58,1,風多雲
3812,2022/3/8 19:27,"0150deb7d0,0436",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,332976,58,1,風多雲
3815,2022/3/8 20:53,"0150deb7d0,0207",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,333269,58,1,風多雲
3817,2022/3/8 21:06,"0150deb7d0,0278",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,源羊肉店,23.57158,119.57413,333314,58,1,風多雲
4185,2022/4/15 17:50,"0150deb7d0,0016",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,海島海產大賣場,23.56576883,119.5655136,445930,58,1,風
4330,2022/4/18 19:04,"0150deb7d0,0079",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,冰吧豆花店 打卡送配料~~,23.56673,119.56773,454110,58,1,陰風
4423,2022/4/2 20:03,"0150deb7d0,0311",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎湖 朝陽路肉圓,23.57339,119.57697,409717,58,1,小雨
4615,2022/4/25 20:16,"0150deb7d0,0095",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,海城上湯鮮魚粥飯麵館,23.57711,119.57021,471787,58,1,晴多雲
9,2022/2/1 22:01,"0150deb7d0,0384",U0d5a39ecd31b0b2b63f941e2d03cb796,葉子的店,23.57429,119.57824,227469,67,0,風雨
135,2022/2/10 14:19,"0150deb7d0,0432",U0d5a39ecd31b0b2b63f941e2d03cb796,多那之澎湖店,23.56483,119.56537,248910,67,0,陰風 
810,2022/2/2 11:01,"0150deb7d0,0386",U0d5a39ecd31b0b2b63f941e2d03cb796,四季肉圓專賣店,23.57334,119.57233,228165,67,0,陰風 
849,2022/2/2 17:56,"0150deb7d0,0094",U0d5a39ecd31b0b2b63f941e2d03cb796,菲菲檸檬,23.57352,119.57246,229238,67,0,陰風 
1244,2022/2/25 22:27,"0150deb7d0,0436",U0d5a39ecd31b0b2b63f941e2d03cb796,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,298998,67,0,陰風 
1949,2022/2/9 13:30,"0150deb7d0,0134",U0d5a39ecd31b0b2b63f941e2d03cb796,呷飽飽燒烤屋,23.57558,119.58025,246492,67,0,風
2032,2022/2/9 21:59,"0150deb7d0,0329",U0d5a39ecd31b0b2b63f941e2d03cb796,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,247864,67,0,風
2066,2022/3/1 14:14,"0150deb7d0,0311",U0d5a39ecd31b0b2b63f941e2d03cb796,澎湖 朝陽路肉圓,23.57339,119.57697,310059,67,0,多雲陰
2076,2022/3/1 16:07,"0150deb7d0,0177",U0d5a39ecd31b0b2b63f941e2d03cb796,夏天茶飲,23.57184,119.57075,310458,67,0,多雲陰
2208,2022/3/11 22:26,"0150deb7d0,0291",U0d5a39ecd31b0b2b63f941e2d03cb796,天津蔥抓餅,23.57431,119.5792,343819,67,0,晴
2424,2022/3/14 19:45,"0150deb7d0,0144",U0d5a39ecd31b0b2b63f941e2d03cb796,小小間,23.57003,119.56901,351934,67,0,陰
2680,2022/3/18 14:46,"0150deb7d0,0027",U0d5a39ecd31b0b2b63f941e2d03cb796,五鮮上醬海產專賣,23.56580466,119.5654261,363404,67,0,陰
2792,2022/3/2 23:39,"0150deb7d0,0171",U0d5a39ecd31b0b2b63f941e2d03cb796,蒙地卡羅咖啡館,23.56733,119.56683,315099,67,0,風
3360,2022/3/3 13:58,"0150deb7d0,0156",U0d5a39ecd31b0b2b63f941e2d03cb796,家味健康素食,23.56603,119.56498,316446,67,0,晴
3428,2022/3/3 21:15,"0150deb7d0,0401",U0d5a39ecd31b0b2b63f941e2d03cb796,駱哥港式點心,23.56584,119.56856,318055,67,0,晴
3515,2022/3/31 19:36,"0150deb7d0,0072",U0d5a39ecd31b0b2b63f941e2d03cb796,日香美食坊歡迎您～,23.57466,119.5768,402869,67,0,陰風
3516,2022/3/31 20:02,"0150deb7d0,0299",U0d5a39ecd31b0b2b63f941e2d03cb796,三多燒肉飯,23.57441,119.57805,402954,67,0,陰風
3519,2022/3/31 20:16,"0150deb7d0,0441",U0d5a39ecd31b0b2b63f941e2d03cb796,本家食堂日式料理,23.57544,119.57445,403005,67,0,陰風
3548,2022/3/4 12:23,"0150deb7d0,0283",U0d5a39ecd31b0b2b63f941e2d03cb796,藍21咖啡輕食,23.5735,119.57169,319280,67,0,晴
3730,2022/3/7 14:46,"0150deb7d0,0373",U0d5a39ecd31b0b2b63f941e2d03cb796,美德西點麵包店,23.5706,119.57208,328524,67,0,陰風
3957,2022/4/10 14:12,"0150deb7d0,0021",U0d5a39ecd31b0b2b63f941e2d03cb796,希望天地珊瑚珍珠,23.56519326,119.5675032,430409,67,0,多雲
4429,2022/4/2 21:55,"0150deb7d0,0332",U0d5a39ecd31b0b2b63f941e2d03cb796,小螞蟻牛排,23.56836,119.56831,409988,67,0,小雨
4585,2022/4/24 19:28,"0150deb7d0,0397",U0d5a39ecd31b0b2b63f941e2d03cb796,夯小管燒x雞蛋糕,23.56476,119.58144,468985,67,0,晴
4774,2022/4/3 14:15,"0150deb7d0,0202",U0d5a39ecd31b0b2b63f941e2d03cb796,原豆工坊咖啡專賣店,23.56409,119.56508,411163,67,0,陰風
4888,2022/4/5 15:37,"0150deb7d0,0227",U0d5a39ecd31b0b2b63f941e2d03cb796,小林包子饅頭店,23.5685,119.56895,416457,67,0,陰多雲
12,2022/2/1 22:36,"0150deb7d0,0258",U8878e49b88921b0451c85b8d80b496be,曬食光餐飲店,23.56639,119.56396,227534,79,1,風雨
556,2022/2/16 23:26,"0150deb7d0,0073",U8878e49b88921b0451c85b8d80b496be,鑫億海產行 (頂級幹貝醬&名產),23.56648,119.56535,269884,79,1,陰風 
2311,2022/3/12 19:06,"0150deb7d0,0236",U8878e49b88921b0451c85b8d80b496be,菊楓食堂日式料理,23.57538,119.58058,346077,79,1,晴
2596,2022/3/17 22:24,"0150deb7d0,0218",U8878e49b88921b0451c85b8d80b496be,滷底撈-澎湖店,23.56499,119.58107,362040,79,1,雨陰
2648,2022/3/17 09:37,"0150deb7d0,0252",U8878e49b88921b0451c85b8d80b496be,飛特潛艦Victor Johni’R,23.56737,119.56745,359519,79,1,雨陰
2649,2022/3/17 09:38,"0150deb7d0,0360",U8878e49b88921b0451c85b8d80b496be,芳遠水果行,23.56751,119.56721,359520,79,1,雨陰
3014,2022/3/22 20:01,"0150deb7d0,0240",U8878e49b88921b0451c85b8d80b496be,文化路蔥油餅,23.56825,119.56753,376366,79,1,陰雨
3393,2022/3/3 15:39,"0150deb7d0,0231",U8878e49b88921b0451c85b8d80b496be,青泉豆花,23.57472,119.57821,316858,79,1,晴
3469,2022/3/30 20:24,"0150deb7d0,0197",U8878e49b88921b0451c85b8d80b496be,嚐香聚牛肉麵,23.57425,119.57308,400396,79,1,多雲
3545,2022/3/4 12:00,"0150deb7d0,0221",U8878e49b88921b0451c85b8d80b496be,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,319170,79,1,晴
4367,2022/4/19 12:12,"0150deb7d0,0288",U8878e49b88921b0451c85b8d80b496be,皮克吐司,23.56714,119.56467,455683,79,1,雨風
4614,2022/4/25 20:01,"0150deb7d0,0177",U8878e49b88921b0451c85b8d80b496be,夏天茶飲,23.57184,119.57075,471742,79,1,晴多雲
13,2022/2/1 22:36,"0150deb7d0,0401",U58001d9adfe8f94262b41bcaf841093b,駱哥港式點心,23.56584,119.56856,227536,73,0,風雨
80,2022/2/1 19:55,"0150deb7d0,0149",U58001d9adfe8f94262b41bcaf841093b,拾捌度C鮮果茶飲站,23.57436,119.5795,227194,73,0,風雨
93,2022/2/1 09:22,"0150deb7d0,0157",U58001d9adfe8f94262b41bcaf841093b,鮮食堂海鮮蒸鍋,23.56566,119.56462,225609,73,0,風雨
3249,2022/3/28 11:09,"0150deb7d0,0376",U58001d9adfe8f94262b41bcaf841093b,無名麵食館,23.56843,119.56965,392903,73,0,雨
4016,2022/4/11 16:15,"0150deb7d0,0027",U58001d9adfe8f94262b41bcaf841093b,五鮮上醬海產專賣,23.56580466,119.5654261,433768,73,0,多雲
4162,2022/4/15 13:13,"0150deb7d0,0078",U58001d9adfe8f94262b41bcaf841093b,白灣景觀餐廳,23.56154,119.64737,445183,73,0,風
4395,2022/4/2 22:35,"0150deb7d0,0244",U58001d9adfe8f94262b41bcaf841093b,三ㄚ店&潮style,23.56705,119.56538,410046,73,0,小雨
4396,2022/4/2 22:43,"0150deb7d0,0386",U58001d9adfe8f94262b41bcaf841093b,四季肉圓專賣店,23.57334,119.57233,410057,73,0,小雨
4397,2022/4/2 22:43,"0150deb7d0,0338",U58001d9adfe8f94262b41bcaf841093b,曾記滿福堂擔仔麵,23.57406,119.57323,410059,73,0,小雨
4412,2022/4/2 16:29,"0150deb7d0,0066",U58001d9adfe8f94262b41bcaf841093b,北海道海產專賣店,23.56637,119.56886,408951,73,0,小雨
4418,2022/4/2 17:48,"0150deb7d0,0258",U58001d9adfe8f94262b41bcaf841093b,曬食光餐飲店,23.56639,119.56396,409237,73,0,小雨
4419,2022/4/2 17:59,"0150deb7d0,0236",U58001d9adfe8f94262b41bcaf841093b,菊楓食堂日式料理,23.57538,119.58058,409277,73,0,小雨
4578,2022/4/24 18:32,"0150deb7d0,0289",U58001d9adfe8f94262b41bcaf841093b,抓包．馬公分店,23.5729,119.57694,468882,73,0,晴
4707,2022/4/28 11:52,"0150deb7d0,0226",U58001d9adfe8f94262b41bcaf841093b,津旺素食,23.56742,119.5681,478618,73,0,陰晴
4772,2022/4/3 12:34,"0150deb7d0,0044",U58001d9adfe8f94262b41bcaf841093b,通樑古榕,23.65648794,119.5567078,410868,73,0,陰風
4789,2022/4/3 19:52,"0150deb7d0,0116",U58001d9adfe8f94262b41bcaf841093b,金醬府,23.56734,119.5729,411906,73,0,陰風
4914,2022/4/5 20:58,"0150deb7d0,0142",U58001d9adfe8f94262b41bcaf841093b,High wave pizza,23.56532,119.56466,417464,73,0,陰多雲
5099,2022/4/9 20:15,"0150deb7d0,0091",U58001d9adfe8f94262b41bcaf841093b,玻玻飲食店,23.57971,119.57924,428649,73,0,晴
14,2022/2/1 22:39,"0150deb7d0,0157",Uc6ca45181f84f93c8037448e8d1945cd,鮮食堂海鮮蒸鍋,23.56566,119.56462,227541,59,0,風雨
15,2022/2/1 22:40,"0150deb7d0,0258",Uc6ca45181f84f93c8037448e8d1945cd,曬食光餐飲店,23.56639,119.56396,227546,59,0,風雨
191,2022/2/10 21:21,"0150deb7d0,0255",Uc6ca45181f84f93c8037448e8d1945cd,巴適麻辣鍋,23.57185,119.58141,250448,59,0,陰風 
676,2022/2/18 13:08,"0150deb7d0,0371",Uc6ca45181f84f93c8037448e8d1945cd,阿鳳牛肉河粉,23.57142,119.57239,274762,59,0,陰雨
925,2022/2/20 20:31,"0150deb7d0,0432",Uc6ca45181f84f93c8037448e8d1945cd,多那之澎湖店,23.56483,119.56537,282444,59,0,風轉小雨
1517,2022/2/3 23:58,"0150deb7d0,0218",Uc6ca45181f84f93c8037448e8d1945cd,滷底撈-澎湖店,23.56499,119.58107,232558,59,0,風轉小雨
1778,2022/2/7 23:26,"0150deb7d0,0305",Uc6ca45181f84f93c8037448e8d1945cd,桃太郎日式料理,23.56613,119.56468,242783,59,0,雨
2057,2022/3/1 12:32,"0150deb7d0,0437",Uc6ca45181f84f93c8037448e8d1945cd,台灣大餅早午餐,23.56718,119.56441,309706,59,0,多雲陰
2117,2022/3/1 19:49,"0150deb7d0,0072",Uc6ca45181f84f93c8037448e8d1945cd,日香美食坊歡迎您～,23.57466,119.5768,311367,59,0,多雲陰
2333,2022/3/13 00:30,"0150deb7d0,0139",Uc6ca45181f84f93c8037448e8d1945cd,紫光複合式餐飲,23.56601,119.56687,346915,59,0,晴
3470,2022/3/30 20:29,"0150deb7d0,0074",Uc6ca45181f84f93c8037448e8d1945cd,媽宮海產行到了！,23.56491,119.56533,400422,59,0,多雲
4105,2022/4/13 17:57,"0150deb7d0,0338",Uc6ca45181f84f93c8037448e8d1945cd,曾記滿福堂擔仔麵,23.57406,119.57323,440275,59,0,晴
4170,2022/4/15 23:35,"0150deb7d0,0246",Uc6ca45181f84f93c8037448e8d1945cd,達咖啡,23.56737,119.56745,446943,59,0,風
4364,2022/4/19 12:08,"0150deb7d0,0179",Uc6ca45181f84f93c8037448e8d1945cd,祥馨鮮鮮果舖,23.57336,119.57256,455669,59,0,雨風
4365,2022/4/19 12:09,"0150deb7d0,0177",Uc6ca45181f84f93c8037448e8d1945cd,夏天茶飲,23.57184,119.57075,455671,59,0,雨風
4500,2022/4/22 13:18,"0150deb7d0,0234",Uc6ca45181f84f93c8037448e8d1945cd,菊島石齋,23.5642,119.5645,463360,59,0,晴雨
4501,2022/4/22 13:19,"0150deb7d0,0087",Uc6ca45181f84f93c8037448e8d1945cd,好吃的黑糖糕就在水月堂食品行～,23.56406,119.56469,463362,59,0,晴雨
4686,2022/4/27 18:45,"0150deb7d0,0333",Uc6ca45181f84f93c8037448e8d1945cd,光和咖啡,23.56495,119.58092,477119,59,0,晴多雲
5086,2022/4/9 17:13,"0150deb7d0,0291",Uc6ca45181f84f93c8037448e8d1945cd,天津蔥抓餅,23.57431,119.5792,428114,59,0,晴
19,2022/2/1 23:28,"0150deb7d0,0024",U3c29e39a18fb2239afcf1a9ce5da3d09,澎漁宴餐廳,23.56625705,119.5690162,227606,80,0,風雨
79,2022/2/1 19:48,"0150deb7d0,0336",U3c29e39a18fb2239afcf1a9ce5da3d09,品川元麻辣串串,23.56319,119.59046,227180,80,0,風雨
297,2022/2/12 15:56,"0150deb7d0,0199",U3c29e39a18fb2239afcf1a9ce5da3d09,麗洋手作蛋糕,23.56431,119.56464,255675,80,0,風
663,2022/2/17 20:11,"0150deb7d0,0255",U3c29e39a18fb2239afcf1a9ce5da3d09,巴適麻辣鍋,23.57185,119.58141,272802,80,0,風
665,2022/2/17 20:30,"0150deb7d0,0299",U3c29e39a18fb2239afcf1a9ce5da3d09,三多燒肉飯,23.57441,119.57805,272895,80,0,風
902,2022/2/20 16:48,"0150deb7d0,0401",U3c29e39a18fb2239afcf1a9ce5da3d09,駱哥港式點心,23.56584,119.56856,281855,80,0,風轉小雨
2857,2022/3/20 13:11,"0150deb7d0,0048",U3c29e39a18fb2239afcf1a9ce5da3d09,小門鯨魚洞站,23.65265094,119.5174826,368854,80,0,陰雨
3016,2022/3/22 08:12,"0150deb7d0,0332",U3c29e39a18fb2239afcf1a9ce5da3d09,小螞蟻牛排,23.56836,119.56831,373902,80,0,陰雨
3885,2022/3/9 19:45,"0150deb7d0,0218",U3c29e39a18fb2239afcf1a9ce5da3d09,滷底撈-澎湖店,23.56499,119.58107,336414,80,0,晴多雲
3925,2022/4/1 18:46,"0150deb7d0,0393",U3c29e39a18fb2239afcf1a9ce5da3d09,紐西蘭牛排館,23.57295,119.57542,406129,80,0,風
4211,2022/4/16 13:16,"0150deb7d0,0305",U3c29e39a18fb2239afcf1a9ce5da3d09,桃太郎日式料理,23.56613,119.56468,447756,80,0,風
4961,2022/4/6 19:41,"0150deb7d0,0222",U3c29e39a18fb2239afcf1a9ce5da3d09,O le pain 喔！麵包,23.57111,119.57982,420133,80,0,風
20,2022/2/1 11:30,"0150deb7d0,0187",Uf4a9fa99caa0a39087a140f14921328b,雨軒冰茶,23.58504,119.65937,225899,47,1,風雨
317,2022/2/12 19:00,"0150deb7d0,0255",Uf4a9fa99caa0a39087a140f14921328b,巴適麻辣鍋,23.57185,119.58141,256416,47,1,風
1401,2022/2/27 19:54,"0150deb7d0,0248",Uf4a9fa99caa0a39087a140f14921328b,映咖啡 INN Coffee,23.58481,119.65883,304699,47,1,陰風 
2003,2022/2/9 18:57,"0150deb7d0,0196",Uf4a9fa99caa0a39087a140f14921328b,馬路益燒肉飯,23.56596,119.56523,247395,47,1,風
4214,2022/4/16 13:26,"0150deb7d0,0311",Uf4a9fa99caa0a39087a140f14921328b,澎湖 朝陽路肉圓,23.57339,119.57697,447805,47,1,風
23,2022/2/1 11:52,"0150deb7d0,0360",U3bc29efa4e459e4802139b075e9574e8,芳遠水果行,23.56751,119.56721,225938,63,1,風雨
35,2022/2/1 00:19,"0150deb7d0,0291",U3bc29efa4e459e4802139b075e9574e8,天津蔥抓餅,23.57431,119.5792,225092,63,1,風雨
42,2022/2/1 00:42,"0150deb7d0,0384",U3bc29efa4e459e4802139b075e9574e8,葉子的店,23.57429,119.57824,225131,63,1,風雨
1526,2022/2/3 14:04,"0150deb7d0,0432",U3bc29efa4e459e4802139b075e9574e8,多那之澎湖店,23.56483,119.56537,231045,63,1,風轉小雨
24,2022/2/1 11:55,"0150deb7d0,0328",Ud396de5c092143ad087e50d3fbcd042d,瑞師父海菜煎餅,23.56579,119.56542,225947,24,1,風雨
751,2022/2/19 13:34,"0150deb7d0,0266",Ud396de5c092143ad087e50d3fbcd042d,外垵福氣刈包,23.56469,119.47946,278202,24,1,風轉小雨
846,2022/2/2 17:32,"0150deb7d0,0040",Ud396de5c092143ad087e50d3fbcd042d,自由塔,23.56993769,119.5713121,229182,24,1,陰風 
1212,2022/2/24 17:51,"0150deb7d0,0308",Ud396de5c092143ad087e50d3fbcd042d,沐一日式豬排專賣店,23.57319,119.57316,294541,24,1,風
1521,2022/2/3 12:35,"0150deb7d0,0255",Ud396de5c092143ad087e50d3fbcd042d,巴適麻辣鍋,23.57185,119.58141,230829,24,1,風轉小雨
1714,2022/2/6 15:32,"0150deb7d0,0395",Ud396de5c092143ad087e50d3fbcd042d,大口香雞排,23.56719,119.56471,238880,24,1,風
26,2022/2/1 00:01,"0150deb7d0,0175",U9572c40e3c203b07c0391eaf8b27a9d4,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,225072,56,1,風雨
4157,2022/4/14 20:43,"0150deb7d0,0297",U9572c40e3c203b07c0391eaf8b27a9d4,?男子漢鐵板料理,23.57041,119.57188,443733,56,1,雨風
28,2022/2/1 00:06,"0150deb7d0,0069",U1533b24c18a3e1f1479bdb79969431d9,岩田丼屋歡迎您！,23.57708,119.57257,225079,67,1,風雨
