no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,0(男)/1(女),天氣
0,2022/2/1 13:07,"0150deb7d0,0089",Ud12b72cb97ad69f841efe9b974ffdbe1,吳家小館,23.63269,119.59865,226186,54,0,風雨
67,2022/2/1 17:38,"0150deb7d0,0032",Ud12b72cb97ad69f841efe9b974ffdbe1,澎湖伯伴手禮坊,23.57123973,119.5799884,226872,54,0,風雨
69,2022/2/1 18:13,"0150deb7d0,0014",Ud12b72cb97ad69f841efe9b974ffdbe1,六六八餐廳,23.57152446,119.5676683,226977,54,0,風雨
74,2022/2/1 19:24,"0150deb7d0,0009",Ud12b72cb97ad69f841efe9b974ffdbe1,海口峰海產行,23.56315044,119.5831612,227124,54,0,風雨
2912,2022/3/21 12:45,"0150deb7d0,0101",Ud12b72cb97ad69f841efe9b974ffdbe1,青灣餐廳,23.52903,119.55413,371313,54,0,陰
3035,2022/3/23 11:19,"0150deb7d0,0168",Ud12b72cb97ad69f841efe9b974ffdbe1,小正傢私店,23.56467,119.56484,377530,54,0,小雨風
3036,2022/3/23 11:39,"0150deb7d0,0167",Ud12b72cb97ad69f841efe9b974ffdbe1,文馨文石工坊,23.56453,119.5645,377580,54,0,小雨風
3050,2022/3/23 16:27,"0150deb7d0,0020",Ud12b72cb97ad69f841efe9b974ffdbe1,漁夫才哥企業社,23.58167831,119.638447,378625,54,0,小雨風
3063,2022/3/23 19:32,"0150deb7d0,0207",Ud12b72cb97ad69f841efe9b974ffdbe1,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,379224,54,0,小雨風
3413,2022/3/3 19:11,"0150deb7d0,0162",Ud12b72cb97ad69f841efe9b974ffdbe1,鯨 鯊威瑪,23.5667,119.56479,317627,54,0,晴
3425,2022/3/3 20:41,"0150deb7d0,0403",Ud12b72cb97ad69f841efe9b974ffdbe1,恐龍炭烤饅頭,23.56671,119.56477,317971,54,0,晴
3826,2022/3/9 13:38,"0150deb7d0,0102",Ud12b72cb97ad69f841efe9b974ffdbe1,清心飲食店,23.60018,119.50975,335082,54,0,晴多雲
3832,2022/3/9 10:48,"0150deb7d0,0264",Ud12b72cb97ad69f841efe9b974ffdbe1,阿姨仙人掌冰,23.65683,119.55745,334485,54,0,晴多雲
3910,2022/4/1 12:01,"0150deb7d0,0395",Ud12b72cb97ad69f841efe9b974ffdbe1,大口香雞排,23.56719,119.56471,404572,54,0,風
4404,2022/4/2 11:57,"0150deb7d0,0078",Ud12b72cb97ad69f841efe9b974ffdbe1,白灣景觀餐廳,23.56154,119.64737,408102,54,0,小雨
1,2022/2/1 13:19,"0150deb7d0,0340",Ua3e61aaf987823389bb9e5792db3b17d,某個角落,23.56492,119.56492,226211,22,1,風雨
4662,2022/4/26 21:13,"0150deb7d0,0365",Ua3e61aaf987823389bb9e5792db3b17d,臭臉大叔?烤甜圈,23.56494,119.56494,474355,22,1,晴多雲
2,2022/2/1 13:29,"0150deb7d0,0102",U5fd8a6c36b2a2370bb0184a98f40b911,清心飲食店,23.60018,119.50975,226243,47,0,風雨
283,2022/2/12 23:00,"0150deb7d0,0038",U5fd8a6c36b2a2370bb0184a98f40b911,石滬廣場站,23.56312198,119.5648365,257232,47,0,風
1487,2022/2/28 20:31,"0150deb7d0,0175",U5fd8a6c36b2a2370bb0184a98f40b911,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,308213,47,0,晴多雲
2251,2022/3/11 18:49,"0150deb7d0,0094",U5fd8a6c36b2a2370bb0184a98f40b911,菲菲檸檬,23.57352,119.57246,343058,47,0,晴
3483,2022/3/31 22:51,"0150deb7d0,0436",U5fd8a6c36b2a2370bb0184a98f40b911,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,403469,47,0,陰風
3868,2022/3/9 18:20,"0150deb7d0,0139",U5fd8a6c36b2a2370bb0184a98f40b911,紫光複合式餐飲,23.56601,119.56687,336091,47,0,晴多雲
4,2022/2/1 13:42,"0150deb7d0,0171",U5bd82e43dc73309eeb6907f4289db0b1,蒙地卡羅咖啡館,23.56733,119.56683,226267,79,1,風雨
2388,2022/3/14 10:55,"0150deb7d0,0172",U5bd82e43dc73309eeb6907f4289db0b1,小城故事庭園咖啡館,23.56972,119.56732,350263,79,1,陰
5,2022/2/1 01:44,"0150deb7d0,0112",U16f92b0df914c40495c60e84bf79adba,劉正港檸檬汁-中華店,23.57204,119.57574,225183,40,0,風雨
1273,2022/2/25 15:54,"0150deb7d0,0330",U16f92b0df914c40495c60e84bf79adba,招柴莉莉,23.57278,119.57504,297404,40,0,陰風 
1452,2022/2/28 15:12,"0150deb7d0,0278",U16f92b0df914c40495c60e84bf79adba,源羊肉店,23.57158,119.57413,306830,40,0,晴多雲
2559,2022/3/16 17:06,"0150deb7d0,0324",U16f92b0df914c40495c60e84bf79adba,榕徽嬤?吃吃喝喝,23.56909,119.59924,357910,40,0,陰
3064,2022/3/23 19:35,"0150deb7d0,0179",U16f92b0df914c40495c60e84bf79adba,祥馨鮮鮮果舖,23.57336,119.57256,379236,40,0,小雨風
3473,2022/3/30 08:59,"0150deb7d0,0307",U16f92b0df914c40495c60e84bf79adba,世軒西點麵包????,23.57275,119.57417,398008,40,0,多雲
3605,2022/3/5 12:08,"0150deb7d0,0096",U16f92b0df914c40495c60e84bf79adba,澎南海產行,23.5714,119.57172,322209,40,0,陰風
4156,2022/4/14 08:38,"0150deb7d0,0338",U16f92b0df914c40495c60e84bf79adba,曾記滿福堂擔仔麵,23.57406,119.57323,441571,40,0,雨風
4284,2022/4/18 13:07,"0150deb7d0,0093",U16f92b0df914c40495c60e84bf79adba,許媽媽小吃館,23.56888,119.56856,452772,40,0,陰風
6,2022/2/1 01:44,"0150deb7d0,0112",U715df1e900eb20c8a489602d1d2ea5cc,劉正港檸檬汁-中華店,23.57204,119.57574,225185,76,1,風雨
512,2022/2/15 18:52,"0150deb7d0,0266",U715df1e900eb20c8a489602d1d2ea5cc,外垵福氣刈包,23.56469,119.47946,265910,76,1,陰風 
718,2022/2/18 17:18,"0150deb7d0,0371",U715df1e900eb20c8a489602d1d2ea5cc,阿鳳牛肉河粉,23.57142,119.57239,275857,76,1,陰雨
1003,2022/2/22 13:09,"0150deb7d0,0432",U715df1e900eb20c8a489602d1d2ea5cc,多那之澎湖店,23.56483,119.56537,287127,76,1,雨
2564,2022/3/16 19:19,"0150deb7d0,0234",U715df1e900eb20c8a489602d1d2ea5cc,菊島石齋,23.5642,119.5645,358391,76,1,陰
8,2022/2/1 13:57,"0150deb7d0,0237",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,振發食品行,23.56413,119.5642,226301,58,1,風雨
30,2022/2/1 00:07,"0150deb7d0,0033",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎福食品行,23.58479347,119.6631239,225080,58,1,風雨
149,2022/2/10 15:33,"0150deb7d0,0330",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,招柴莉莉,23.57278,119.57504,249248,58,1,陰風 
1180,2022/2/24 12:16,"0150deb7d0,0202",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,原豆工坊咖啡專賣店,23.56409,119.56508,293232,58,1,風
1181,2022/2/24 12:18,"0150deb7d0,0249",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,秋喜肉蛋吐司,23.56867,119.5675,293248,58,1,風
1184,2022/2/24 12:20,"0150deb7d0,0295",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,獨領風騷,23.56815,119.56751,293261,58,1,風
1209,2022/2/24 17:17,"0150deb7d0,0329",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,294389,58,1,風
