no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,0(男)/1(女),天氣
2914,2022/3/21 12:57,"0150deb7d0,0026",U58001d9adfe8f94262b41bcaf841093b,媽宮食品工廠,23.56186091,119.5803374,371371,73,0,陰
3004,2022/3/22 07:09,"0150deb7d0,0371",U58001d9adfe8f94262b41bcaf841093b,阿鳳牛肉河粉,23.57142,119.57239,373820,73,0,陰雨
3060,2022/3/23 07:24,"0150deb7d0,0373",U58001d9adfe8f94262b41bcaf841093b,美德西點麵包店,23.5706,119.57208,377093,73,0,小雨風
3099,2022/3/24 20:13,"0150deb7d0,0109",U58001d9adfe8f94262b41bcaf841093b,萬泰食品,23.57515,119.56779,382306,73,0,小雨陰
3133,2022/3/25 18:17,"0150deb7d0,0307",U58001d9adfe8f94262b41bcaf841093b,世軒西點麵包????,23.57275,119.57417,385273,73,0,陰
3143,2022/3/25 20:15,"0150deb7d0,0249",U58001d9adfe8f94262b41bcaf841093b,秋喜肉蛋吐司,23.56867,119.5675,385711,73,0,陰
3156,2022/3/26 12:29,"0150deb7d0,0076",U58001d9adfe8f94262b41bcaf841093b,雲泰小吃館,23.52277,119.59982,387048,73,0,多雲轉小雨
3169,2022/3/26 17:53,"0150deb7d0,0299",U58001d9adfe8f94262b41bcaf841093b,三多燒肉飯,23.57441,119.57805,388402,73,0,多雲轉小雨
3184,2022/3/26 20:13,"0150deb7d0,0202",U58001d9adfe8f94262b41bcaf841093b,原豆工坊咖啡專賣店,23.56409,119.56508,388818,73,0,多雲轉小雨
502,2022/2/15 18:00,"0150deb7d0,0104",U50284f2fcdf83512e9e4968a77e2a672,京典小吃部,23.56481,119.56895,265730,55,1,陰風 
542,2022/2/16 13:44,"0150deb7d0,0401",U50284f2fcdf83512e9e4968a77e2a672,駱哥港式點心,23.56584,119.56856,267820,55,1,陰風 
640,2022/2/17 15:13,"0150deb7d0,0179",U50284f2fcdf83512e9e4968a77e2a672,祥馨鮮鮮果舖,23.57336,119.57256,271489,55,1,風
688,2022/2/18 11:36,"0150deb7d0,0107",U50284f2fcdf83512e9e4968a77e2a672,真鮮味小吃部,119.56491,119.56929,274385,55,1,陰雨
766,2022/2/19 15:02,"0150deb7d0,0393",U50284f2fcdf83512e9e4968a77e2a672,紐西蘭牛排館,23.57295,119.57542,278487,55,1,風轉小雨
789,2022/2/19 19:56,"0150deb7d0,0311",U50284f2fcdf83512e9e4968a77e2a672,澎湖 朝陽路肉圓,23.57339,119.57697,279497,55,1,風轉小雨
889,2022/2/20 14:00,"0150deb7d0,0373",U50284f2fcdf83512e9e4968a77e2a672,美德西點麵包店,23.5706,119.57208,281214,55,1,風轉小雨
2923,2022/3/21 16:24,"0150deb7d0,0077",U954f8e628b485f2c105b7e035639650b,海島咖啡館,23.56851,119.58306,372121,79,1,陰
2954,2022/3/22 13:06,"0150deb7d0,0240",U954f8e628b485f2c105b7e035639650b,文化路蔥油餅,23.56825,119.56753,374742,79,1,陰雨
2957,2022/3/22 13:23,"0150deb7d0,0295",U954f8e628b485f2c105b7e035639650b,獨領風騷,23.56815,119.56751,374823,79,1,陰雨
3041,2022/3/23 12:30,"0150deb7d0,0309",U954f8e628b485f2c105b7e035639650b,澎湖樂晨早午餐,23.57313,119.57701,377772,79,1,小雨風
3044,2022/3/23 14:13,"0150deb7d0,0292",U954f8e628b485f2c105b7e035639650b,Mr.大雞,23.57226,119.57626,378159,79,1,小雨風
3048,2022/3/23 15:19,"0150deb7d0,0335",U954f8e628b485f2c105b7e035639650b,外婆麵猴,23.57246,119.57467,378362,79,1,小雨風
3074,2022/3/24 10:02,"0150deb7d0,0024",U954f8e628b485f2c105b7e035639650b,澎漁宴餐廳,23.56625705,119.5690162,380176,79,1,小雨陰
3107,2022/3/25 13:00,"0150deb7d0,0079",U954f8e628b485f2c105b7e035639650b,冰吧豆花店 打卡送配料~~,23.56673,119.56773,383951,79,1,陰
3197,2022/3/26 21:35,"0150deb7d0,0143",U954f8e628b485f2c105b7e035639650b,14巷復刻飛鏢餐館,23.56589,119.5663,389019,79,1,多雲轉小雨
4836,2022/4/4 12:47,"0150deb7d0,0073",U8793a2bb7e42885c2e17c4682d981151,鑫億海產行 (頂級幹貝醬&名產),23.56648,119.56535,413448,24,1,風
4844,2022/4/4 16:57,"0150deb7d0,0328",U8793a2bb7e42885c2e17c4682d981151,瑞師父海菜煎餅,23.56579,119.56542,414058,24,1,風
4899,2022/4/5 18:27,"0150deb7d0,0069",U8793a2bb7e42885c2e17c4682d981151,岩田丼屋歡迎您！,23.57708,119.57257,417040,24,1,陰多雲
4955,2022/4/6 18:41,"0150deb7d0,0171",U8793a2bb7e42885c2e17c4682d981151,蒙地卡羅咖啡館,23.56733,119.56683,419948,24,1,風
4978,2022/4/7 13:42,"0150deb7d0,0020",U8793a2bb7e42885c2e17c4682d981151,漁夫才哥企業社,23.58167831,119.638447,421568,24,1,陰風
4982,2022/4/7 14:44,"0150deb7d0,0324",U8793a2bb7e42885c2e17c4682d981151,榕徽嬤?吃吃喝喝,23.56909,119.59924,421716,24,1,陰風
4991,2022/4/7 16:37,"0150deb7d0,0090",U8793a2bb7e42885c2e17c4682d981151,家竹黑砂糖冷熱飲店,23.56518,119.58183,422004,24,1,陰風
5055,2022/4/8 21:04,"0150deb7d0,0064",U8793a2bb7e42885c2e17c4682d981151,我們是望安CAFE,23.56506,119.56816,426128,24,1,晴
5056,2022/4/8 21:08,"0150deb7d0,0161",U8793a2bb7e42885c2e17c4682d981151,轟餅-黑仔旺旺車輪餅,23.5648,119.56633,426139,24,1,晴
5070,2022/4/9 14:31,"0150deb7d0,0036",U8793a2bb7e42885c2e17c4682d981151,岩質咖啡,23.56646069,119.5790493,427609,24,1,晴
5071,2022/4/9 14:41,"0150deb7d0,0057",U8793a2bb7e42885c2e17c4682d981151,澎湖海洋地質公園中心(1F),23.56642,119.57891,427631,24,1,晴
5097,2022/4/9 19:10,"0150deb7d0,0397",U8793a2bb7e42885c2e17c4682d981151,夯小管燒x雞蛋糕,23.56476,119.58144,428448,24,1,晴
3345,2022/3/3 13:09,"0150deb7d0,0365",Uc29afc3b7c255de25b9b14f224b4a3f5,臭臉大叔?烤甜圈,23.56494,119.56494,316250,21,1,晴
3390,2022/3/3 15:32,"0150deb7d0,0370",Uc29afc3b7c255de25b9b14f224b4a3f5,美味登場飯麵館,23.56881,119.57029,316838,21,1,晴
3540,2022/3/4 23:15,"0150deb7d0,0295",Uc29afc3b7c255de25b9b14f224b4a3f5,獨領風騷,23.56815,119.56751,321460,21,1,晴
3634,2022/3/5 19:21,"0150deb7d0,0266",Uc29afc3b7c255de25b9b14f224b4a3f5,外垵福氣刈包,23.56469,119.47946,323649,21,1,陰風
3687,2022/3/6 18:52,"0150deb7d0,0068",Uc29afc3b7c255de25b9b14f224b4a3f5,弗洛伊得飲酒店,23.56755,119.56811,326359,21,1,風   雨
3690,2022/3/6 19:02,"0150deb7d0,0038",Uc29afc3b7c255de25b9b14f224b4a3f5,石滬廣場站,23.56312198,119.5648365,326417,21,1,風   雨
3693,2022/3/6 19:25,"0150deb7d0,0086",Uc29afc3b7c255de25b9b14f224b4a3f5,憲作食品商行喜歡義式霜淇淋的你,23.5664,119.56782,326488,21,1,風   雨
3713,2022/3/7 10:09,"0150deb7d0,0236",Uc29afc3b7c255de25b9b14f224b4a3f5,菊楓食堂日式料理,23.57538,119.58058,327674,21,1,陰風
3792,2022/3/8 15:31,"0150deb7d0,0134",Uc29afc3b7c255de25b9b14f224b4a3f5,呷飽飽燒烤屋,23.57558,119.58025,332031,21,1,風多雲
