no,Time 秒,UserID/MemID,設置點,緯度,經度,BPL UID
49,2/1/2022 1:19:12 PM,Ua3e61aaf987823389bb9e5792db3b17d,某個角落,23.56492,119.56492,226211
50,2/1/2022 1:29:49 PM,U5fd8a6c36b2a2370bb0184a98f40b911,清心飲食店,23.60018,119.50975,226243
51,2/1/2022 1:31:02 PM,U863b8cae579201d96dab41d5e002a5a3,大家加油站,23.5695,119.58327,226246
52,2/1/2022 1:42:42 PM,U5bd82e43dc73309eeb6907f4289db0b1,蒙地卡羅咖啡館,23.56733,119.56683,226267
53,2/1/2022 1:53:05 PM,U863b8cae579201d96dab41d5e002a5a3,Mr.Corgi 柯基先生寵物鮮食,23.56989,119.5689,226291
54,2/1/2022 1:57:01 PM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,振發食品行,23.56413,119.5642,226301
55,2/1/2022 2:08:37 PM,U5184aaefb02a570076e9f22014da090e,萌貓僕舍,23.57357,119.57662,226338
56,2/1/2022 2:09:45 PM,U863b8cae579201d96dab41d5e002a5a3,小螞蟻牛排,23.56836,119.56831,226341
57,2/1/2022 2:23:41 PM,Uaae89b5752af1bf17f87d9cf02d03e41,白灣景觀餐廳,23.56154,119.64737,226380
58,2/1/2022 2:31:49 PM,U41cdbf64df0886d0acae01076f860cb9,愛家好朋友素食屋,23.57727,119.57231,226403
59,2/1/2022 2:36:30 PM,U2bb1bde145575604c370bfef37a865ad,奧斯卡寵物-澎湖店,23.57362,119.5773,226412
60,2/1/2022 2:40:51 PM,U9d74e50af944020a75cdc3d1928eddee,金玉堂文具批發廣場,23.56544,119.56548,226424
61,2/1/2022 2:47:06 PM,Ud42106e5f373e119fc111a8d67b464f1,妮可沙龍,23.56905,119.5709,226434
62,2/1/2022 2:48:50 PM,U863b8cae579201d96dab41d5e002a5a3,老餅新料蔥油餅,23.57605,119.57486,226439
63,2/1/2022 3:09:07 PM,U6594f5623ade5662784accad1314115c,Ms馨婭美睫美甲工作室,23.57156,119.57398,226499
64,2/1/2022 3:11:20 PM,Ue1f9ea92a0df617e7e86b7ad1106c5e2,霸味薑母鴨,23.5705,119.57567,226504
65,2/1/2022 3:11:44 PM,U0ecca1d37264bc79c881ea6b7a03cc5b,佶肯美式漢堡炸雞,23.56354,119.56659,226511
66,2/1/2022 3:11:47 PM,U5e115195ab4932c756d797ba1a1bda30,回億小時候飲料店-湖西店,23.5847,119.66037,226513
67,2/1/2022 3:40:38 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,大本商行-台灣運彩,23.57368,119.57247,226579
68,2/1/2022 3:46:27 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,外垵福氣刈包,23.56469,119.47946,226601
69,2/1/2022 3:58:33 PM,U6700554e734c9f720440c275b8b13b96,我們是望安CAFE,23.56506,119.56816,226624
70,2/1/2022 4:09:49 PM,U7c3bd6fa46c5f9fdffe97ffe54949781,澎湖機場-服務中心,23.56111,119.62994,226656
71,2/1/2022 4:17:57 PM,U4318c18d78a35e2d646db31b63ef92c6,奧斯卡寵物-澎湖店,23.57362,119.5773,226671
72,2/1/2022 4:28:51 PM,U06795aebb2d9a6ff7de3a4f5e2c24e7d,打勾勾民宿,23.58607,119.5828,226693
73,2/1/2022 4:46:12 PM,U06d6966af476ff8ac22df66626410381,沐一日式豬排專賣店,23.57319,119.57316,226730
74,2/1/2022 4:46:41 PM,U35f840c54ee263928f8f672f5273082e,大本商行-台灣運彩,23.57368,119.57247,226734
75,2/1/2022 5:18:40 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,好享吃小火鍋,23.56745,119.56641,226810
76,2/1/2022 5:31:52 PM,U317cec3c5157e6f8bb09cfb3a514f5cc,三ㄚ店&潮style,23.56705,119.56538,226849
77,2/1/2022 5:32:37 PM,U62e621513454187f94290692689f56ad,桃太郎日式料理,23.56613,119.56468,226854
78,2/1/2022 5:38:39 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,澎湖伯伴手禮坊,23.57123973,119.5799884,226872
79,2/1/2022 6:01:59 PM,U30edaf2003e2b0a69fa35c19403c7eb0,As米 HAIR,23.5667,119.56705,226942
80,2/1/2022 6:13:35 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,六六八餐廳,23.57152446,119.5676683,226977
81,2/1/2022 6:26:27 PM,U6700554e734c9f720440c275b8b13b96,漁夫才哥企業社,23.58167831,119.638447,227000
82,2/1/2022 6:57:48 PM,U54d5e3f6e7f2d29a5a7200b210fe4892,海玩子雞蛋糕,23.56997,119.56894,227066
83,2/1/2022 6:58:06 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,As米 HAIR,23.5667,119.56705,227068
84,2/1/2022 7:24:27 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,海口峰海產行,23.56315044,119.5831612,227124
85,2/1/2022 7:35:35 PM,U863b8cae579201d96dab41d5e002a5a3,新巴適經典麻辣鍋,23.57179,119.57882,227148
86,2/1/2022 7:48:46 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,品川元麻辣串串,23.56319,119.59046,227180
87,2/1/2022 7:55:20 PM,U58001d9adfe8f94262b41bcaf841093b,拾捌度C鮮果茶飲站,23.57436,119.5795,227194
88,2/1/2022 8:07:37 PM,Ucdba1bf15e1eb63bbe2a6bc301d768d0,石滬廣場站,23.56312198,119.5648365,227218
89,2/1/2022 8:25:41 PM,U0ecca1d37264bc79c881ea6b7a03cc5b,海口峰海產行,23.56315044,119.5831612,227259
90,2/1/2022 9:37:59 PM,U5d2e30cfd14fb44a3ce0125828900d16,舒油頭-澎湖建國店,23.56631,119.56603,227434
91,2/1/2022 9:50:41 PM,U58001d9adfe8f94262b41bcaf841093b,漁世界釣具店,23.56585,119.56882,227450
92,2/1/2022 10:01:09 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,葉子的店,23.57429,119.57824,227469
93,2/1/2022 10:14:56 PM,Ua5d612b844f3c29bede3e6e5528797f5,西衛東站,23.57962804,119.579235,227500
94,2/1/2022 10:36:05 PM,U8878e49b88921b0451c85b8d80b496be,晒食光餐飲店,23.56639,119.56396,227534
95,2/1/2022 10:36:26 PM,U58001d9adfe8f94262b41bcaf841093b,駱哥港式點心,23.56584,119.56856,227536
96,2/1/2022 10:39:07 PM,Uc6ca45181f84f93c8037448e8d1945cd,鮮食堂海鮮蒸鍋,23.56566,119.56462,227541
97,2/1/2022 10:40:00 PM,Uc6ca45181f84f93c8037448e8d1945cd,晒食光餐飲店,23.56639,119.56396,227546
98,2/1/2022 11:03:26 PM,Ud42106e5f373e119fc111a8d67b464f1,晴天餐飲店,23.56892806,119.5708262,227580
99,2/1/2022 11:28:45 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,澎漁宴餐廳,23.56625705,119.5690162,227606
100,2/2/2022 9:33:16 AM,Ucdfa0f2c4d63746185972bd203584c33,6號香q雞蛋仔,23.57223,119.57733,228008
101,2/2/2022 10:24:03 AM,U98f13216a0ae815869d88ee48bf116ef,駱哥港式點心,23.56584,119.56856,228086
102,2/2/2022 10:25:16 AM,U98f13216a0ae815869d88ee48bf116ef,敲好吃～蔥抓餅,23.56605,119.56615,228091
103,2/2/2022 10:40:02 AM,U954f8e628b485f2c105b7e035639650b,呷飽飽燒烤屋,23.57558,119.58025,228115
104,2/2/2022 10:40:36 AM,U22810a86bf6c88e1580fc68bb22cc23c,東衛站,23.56983621,119.5988541,228117
105,2/2/2022 10:47:28 AM,Ub7e7400468a94c97e7aa9a4e08c88981,小8三色地瓜球,23.57129,119.57286,228131
106,2/2/2022 10:49:08 AM,U58001d9adfe8f94262b41bcaf841093b,自由塔,23.56993769,119.5713121,228139
107,2/2/2022 11:01:28 AM,U0d5a39ecd31b0b2b63f941e2d03cb796,四季肉圓專賣店,23.57334,119.57233,228165
108,2/2/2022 11:13:11 AM,U7a89fa99cb80c8496590501db322b56c,南寮社區,23.58582245,119.6686034,228190
109,2/2/2022 11:23:08 AM,U7e342b53990f897d76cab3f316db2feb,西衛東站,23.57962804,119.579235,228205
110,2/2/2022 11:40:06 AM,U83a795c9bbe7e2600837384f0bc0f999,打勾勾民宿,23.58607,119.5828,228250
111,2/2/2022 11:47:39 AM,U83a795c9bbe7e2600837384f0bc0f999,大本商行-台灣運彩,23.57368,119.57247,228269
112,2/2/2022 11:48:45 AM,U83a795c9bbe7e2600837384f0bc0f999,茶的魔手,23.57178,119.57055,228273
113,2/2/2022 11:55:23 AM,U99fed0cd1522ade3efcf61bc94acd5b1,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,228289
114,2/2/2022 12:04:06 PM,U75559c3a5e306d3cdf5a9e3dbd88febf,清心飲食店,23.60018,119.50975,228313
115,2/2/2022 12:07:48 PM,U0b14300de9a4d57d38b5599bb17c5fc4,Mr.大雞,23.57226,119.57626,228327
116,2/2/2022 12:08:53 PM,Uac8f1738516975144175970d61cd80a6,大本商行-台灣運彩,23.57368,119.57247,228331
117,2/2/2022 12:17:31 PM,U5184aaefb02a570076e9f22014da090e,澎湖樂晨早午餐,23.57313,119.57701,228341
118,2/2/2022 12:26:23 PM,U7a89fa99cb80c8496590501db322b56c,花菜干,23.5644309,119.5867029,228372
119,2/2/2022 12:27:02 PM,U5184aaefb02a570076e9f22014da090e,澎湖 朝陽路肉圓,23.57339,119.57697,228373
120,2/2/2022 12:30:30 PM,U0910dc95f02dabb13f84b7463255d75a,秋喜肉蛋吐司,23.56867,119.5675,228382
121,2/2/2022 12:31:50 PM,U0910dc95f02dabb13f84b7463255d75a,敲好吃～蔥抓餅,23.56605,119.56615,228386
122,2/2/2022 12:50:22 PM,U20abf3b7f9bd00db4a98749f151af85e,豚將拉麵-澎湖店,23.57355,119.5725,228451
123,2/2/2022 1:16:48 PM,U6bf4651fe0c4366d9d8e8306c9e32994,麥軒活力站,23.57145,119.57228,228504
124,2/2/2022 1:40:43 PM,Ud42106e5f373e119fc111a8d67b464f1,西衛東站,23.57962804,119.579235,228550
125,2/2/2022 1:43:40 PM,U3dc4122ffdd99c7b1151c06b6570112f,日香美食坊歡迎您～,23.57466,119.5768,228559
126,2/2/2022 1:44:10 PM,Ue7237672494c6a4bbebedf37072e668a,出櫃茶飲連鎖專賣店,23.56525,119.56726,228561
127,2/2/2022 2:30:33 PM,U7a89fa99cb80c8496590501db322b56c,跨海大橋(西嶼端),23.63923913,119.5405206,228649
128,2/2/2022 2:42:13 PM,U06d6966af476ff8ac22df66626410381,巴適麻辣鍋,23.57185,119.58141,228668
129,2/2/2022 2:43:45 PM,U87c00daa10687a8c7db52939e4cb999b,典醬家,23.56933086,119.5898642,228672
130,2/2/2022 2:59:56 PM,U79311f93cc86094965dcdbc3065d2e13,鮮食堂海鮮蒸鍋,23.56566,119.56462,228706
131,2/2/2022 3:10:51 PM,Ue7237672494c6a4bbebedf37072e668a,澎湖機場-服務中心,23.56111,119.62994,228741
132,2/2/2022 3:23:28 PM,U3bef99915c174d00c8771be3302bef5d,小和食光輕食館,23.57465715,119.5734249,228780
133,2/2/2022 3:33:58 PM,U181657e7c3044a6c151f5554c2de1613,澎湖水仙宮,23.56385,119.56416,228806
134,2/2/2022 3:37:20 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,南寮社區,23.58582245,119.6686034,228818
135,2/2/2022 3:49:59 PM,U7a89fa99cb80c8496590501db322b56c,二崁聚落站,23.60407314,119.517786,228852
136,2/2/2022 4:07:40 PM,Ua08140440fb458d2532cb6381df1e7e5,紫光複合式餐飲,23.56601,119.56687,228913
137,2/2/2022 4:10:27 PM,U181657e7c3044a6c151f5554c2de1613,登峰藝品行(登峰特產行),23.56505,119.56522,228923
138,2/2/2022 4:13:23 PM,U549d83ded5aae205862d9454360f140e,萊客帕冰品Like Par Par,23.56342,119.56493,228924
139,2/2/2022 4:15:34 PM,U16884c894357fdf20860f6ecee558d7f,Mr.大雞,23.57226,119.57626,228938
140,2/2/2022 4:15:48 PM,U181657e7c3044a6c151f5554c2de1613,茶湯會澎湖中正店,23.56522,119.56522,228941
